CountryCode,Name,District,Population
BRA,Ourinhos,"São Paulo",96291
BRA,Parnamirim,"Rio Grande do Norte",96210
BRA,Jacobina,Bahia,96131
BRA,"Coronel Fabriciano","Minas Gerais",95933
BRA,Birigui,"São Paulo",94685
BRA,Tatuí,"São Paulo",93897
BRA,Ji-Paraná,Rondônia,93346
BRA,Bacabal,Maranhão,93121
BRA,Cametá,Pará,92779
BRA,Guaíba,"Rio Grande do Sul",92224
BRA,"São Lourenço da Mata",Pernambuco,91999
BRA,"Santana do Livramento","Rio Grande do Sul",91779
BRA,Votorantim,"São Paulo",91777
BRA,"Campo Largo",Paraná,91203
BRA,Patos,Paraíba,90519
BRA,Ituiutaba,"Minas Gerais",90507
BRA,Corumbá,"Mato Grosso do Sul",90111
BRA,Palhoça,"Santa Catarina",89465
BRA,"Barra do Piraí","Rio de Janeiro",89388
BRA,"Bento Gonçalves","Rio Grande do Sul",89254
BRA,Poá,"São Paulo",89236
BRA,"Águas Lindas de Goiás",Goiás,89200
GBR,London,England,7285000
GBR,Birmingham,England,1013000
GBR,Glasgow,Scotland,619680
GBR,Liverpool,England,461000
GBR,Edinburgh,Scotland,450180
GBR,Sheffield,England,431607
GBR,Manchester,England,430000
GBR,Leeds,England,424194
GBR,Bristol,England,402000
GBR,Cardiff,Wales,321000
GBR,Coventry,England,304000
GBR,Leicester,England,294000
GBR,Bradford,England,289376
GBR,Belfast,"North Ireland",287500
GBR,Nottingham,England,287000
GBR,"Kingston upon Hull",England,262000
GBR,Plymouth,England,253000
GBR,Stoke-on-Trent,England,252000
GBR,Wolverhampton,England,242000
GBR,Derby,England,236000
GBR,Swansea,Wales,230000
GBR,Southampton,England,216000
GBR,Aberdeen,Scotland,213070
GBR,Northampton,England,196000
GBR,Dudley,England,192171
GBR,Portsmouth,England,190000
GBR,"Newcastle upon Tyne",England,189150
GBR,Sunderland,England,183310
GBR,Luton,England,183000
GBR,Swindon,England,180000
GBR,Southend-on-Sea,England,176000
GBR,Walsall,England,174739
GBR,Bournemouth,England,162000
GBR,Peterborough,England,156000
GBR,Brighton,England,156124
GBR,Blackpool,England,151000
GBR,Dundee,Scotland,146690
GBR,"West Bromwich",England,146386
GBR,Reading,England,148000
GBR,"Oldbury/Smethwick (Warley)",England,145542
GBR,Middlesbrough,England,145000
GBR,Huddersfield,England,143726
GBR,Oxford,England,144000
GBR,Poole,England,141000
GBR,Bolton,England,139020
GBR,Blackburn,England,140000
GBR,Newport,Wales,139000
GBR,Preston,England,135000
GBR,Stockport,England,132813
GBR,Norwich,England,124000
GBR,Rotherham,England,121380
GBR,Cambridge,England,121000
GBR,Watford,England,113080
GBR,Ipswich,England,114000
GBR,Slough,England,112000
GBR,Exeter,England,111000
GBR,Cheltenham,England,106000
GBR,Gloucester,England,107000
GBR,"Saint Helens",England,106293
GBR,"Sutton Coldfield",England,106001
GBR,York,England,104425
GBR,Oldham,England,103931
GBR,Basildon,England,100924
GBR,Worthing,England,100000
GBR,Chelmsford,England,97451
GBR,Colchester,England,96063
GBR,Crawley,England,97000
GBR,Gillingham,England,92000
GBR,Solihull,England,94531
GBR,Rochdale,England,94313
GBR,Birkenhead,England,93087
GBR,Worcester,England,95000
GBR,Hartlepool,England,92000
GBR,Halifax,England,91069
GBR,Woking/Byfleet,England,92000
GBR,Southport,England,90959
GBR,Maidstone,England,90878
GBR,Eastbourne,England,90000
GBR,Grimsby,England,89000
GBR,"Saint Helier",Jersey,27523
GBR,Douglas,–,23487
VGB,"Road Town",Tortola,8000
BRN,"Bandar Seri Begawan","Brunei and Muara",21484
BGR,Sofija,"Grad Sofija",1122302
BGR,Plovdiv,Plovdiv,342584
BGR,Varna,Varna,299801
BGR,Burgas,Burgas,195255
BGR,Ruse,Ruse,166467
BGR,"Stara Zagora",Haskovo,147939
BGR,Pleven,Lovec,121952
BGR,Sliven,Burgas,105530
BGR,Dobric,Varna,100399
BGR,Šumen,Varna,94686
BFA,Ouagadougou,Kadiogo,824000
BFA,Bobo-Dioulasso,Houet,300000
BFA,Koudougou,Boulkiemdé,105000
BDI,Bujumbura,Bujumbura,300000
CYM,"George Town","Grand Cayman",19600
CHL,"Santiago de Chile",Santiago,4703954
CHL,"Puente Alto",Santiago,386236
CHL,"Viña del Mar",Valparaíso,312493
CHL,Valparaíso,Valparaíso,293800
CHL,Talcahuano,Bíobío,277752
CHL,Antofagasta,Antofagasta,251429
CHL,"San Bernardo",Santiago,241910
CHL,Temuco,"La Araucanía",233041
CHL,Concepción,Bíobío,217664
CHL,Rancagua,O´Higgins,212977
CHL,Arica,Tarapacá,189036
CHL,Talca,Maule,187557
CHL,Chillán,Bíobío,178182
CHL,Iquique,Tarapacá,177892
CHL,"Los Angeles",Bíobío,158215
CHL,"Puerto Montt","Los Lagos",152194
CHL,Coquimbo,Coquimbo,143353
CHL,Osorno,"Los Lagos",141468
CHL,"La Serena",Coquimbo,137409
CHL,Calama,Antofagasta,137265
CHL,Valdivia,"Los Lagos",133106
CHL,"Punta Arenas",Magallanes,125631
CHL,Copiapó,Atacama,120128
CHL,Quilpué,Valparaíso,118857
CHL,Curicó,Maule,115766
CHL,Ovalle,Coquimbo,94854
CHL,Coronel,Bíobío,93061
CHL,"San Pedro de la Paz",Bíobío,91684
CHL,Melipilla,Santiago,91056
